mechanism_id,track,hypothesis,standalone_signal,fixed_trading_proxy,data_requirements,execution_requirement,status
VOL_OF_VOL,options,volatility-of-volatility contains relative-value information,rolling surface-volatility dispersion,fixed variance-vol proxy,PIT option surface history,execution required,DATA_READY_CHECK
DISPERSION,index_relative,index IV differs from constituent implied variance or correlation,index-vs-constituent variance/correlation residual,equal-risk dispersion proxy,PIT constituent membership plus constituent prices/IV and index options,execution required,DATA_REQUIRED
BREADTH,index_relative,breadth or leadership predicts index returns,advancers-minus-decliners or breadth rank,fixed index overlay,security-level daily data and PIT membership,EOD proxy initially,DATA_REQUIRED
EVENT_DRIFT,events,announcements or events cause systematic post-event drift,event-type indicator plus fixed post-event window,one event per signal fixed holding horizon,auditable event timestamps plus security/index prices,event-time execution,DATA_REQUIRED
REBALANCE_DRIFT,events,index rebalancing creates temporary predictable flow,rebalancing inclusion or exclusion indicator,fixed pre/post event window,historical index change files and constituent prices,event-time execution,DATA_REQUIRED
EXPIRY_FLOW,events,derivatives expiry creates repeatable price or volume effects,fixed days-to-expiry indicator,fixed expiry-day window,futures/options volume OI price,EOD proxy initially,DATA_READY_CHECK
MICRO_SPREAD,microstructure,spread or depth state predicts near-term returns,quoted spread/depth imbalance,fixed short-horizon market-neutral proxy,timestamped L1/L2 quotes and sizes,quote execution required,DATA_BLOCKED
ORDER_IMBALANCE,microstructure,aggressive order flow predicts short-term price changes,signed trade or order imbalance,fixed short-horizon directional proxy,timestamped trades and order events,trade/order execution required,DATA_BLOCKED
IMPACT_DECAY,microstructure,temporary impact decays predictably,post-trade price-impact state,fixed mean-reversion proxy,timestamped trades quotes and book state,trade/order execution required,DATA_BLOCKED
LEAD_LAG_GLOBAL,cross_market,global market moves lead NIFTY,lagged global return state,fixed next-session NIFTY position,synchronized global and NIFTY prices,EOD proxy initially,DATA_REQUIRED
LEAD_LAG_FX,cross_market,USD-INR moves lead NIFTY,lagged USDINR return or state,fixed next-session NIFTY position,synchronized USDINR and NIFTY prices,EOD proxy initially,DATA_REQUIRED
LEAD_LAG_RATES,cross_market,rates or curve moves lead NIFTY,lagged India or US rates state,fixed next-session NIFTY position,synchronized rate and NIFTY prices,EOD proxy initially,DATA_REQUIRED
MEMORY_REGIME,dependence,memory statistics condition efficiency,predefined Hurst/DFA memory signal,fixed regime overlay with no fitted threshold,daily returns with surrogate controls,EOD proxy initially,PLANNED
COMBO_TS,time_series_combo,pre-registered equal-risk combination of TS signals,equal-risk TS_MOMENTUM + TS_REVERSAL + VOL_CLUSTER,equal-risk 1/N bundle,inputs above,EOD proxy initially,PLANNED
COMBO_DERIV,derivative_combo,pre-registered equal-risk derivative combination,equal-risk FUT_BASIS + VRP + surface signals,equal-risk 1/N bundle,inputs above,execution required,PLANNED
COMBO_SURFACE,surface_combo,pre-registered equal-risk surface bundle,equal-risk DOWN_SKEW + UP_SKEW + TERM_SLOPE,equal-risk 1/N bundle,PIT option surface,execution required,PLANNED
COMBO_INDEX,index_combo,pre-registered equal-risk index-relative bundle,equal-risk DISPERSION + BREADTH + EXPIRY_FLOW,equal-risk 1/N bundle,inputs above,mixed,PLANNED
COMBO_CROSS_MARKET,cross_market_combo,pre-registered equal-risk cross-market bundle,equal-risk LEAD_LAG_GLOBAL + LEAD_LAG_FX + LEAD_LAG_RATES,equal-risk 1/N bundle,inputs above,EOD proxy initially,PLANNED
